X,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,BQ2_quality
3186,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,"[3,6]"
2161,6,0.33,0.38,9.7,0.04,29,124,0.9954,3.47,0.48,11,"[3,6]"
324,6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,"[3,6]"
103,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,"[3,6]"
2250,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,"[3,6]"
3186,6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,"[3,6]"
2250,6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,"[3,6]"
115,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,"[3,6]"
2180,7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,"[3,6]"
4818,5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,"[3,6]"
4831,5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,"[3,6]"
3190,6.6,0.19,0.33,1.8,0.035,42,148,0.99196,3.15,0.36,10.2,"[3,6]"
3456,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,"[3,6]"
370,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,"[3,6]"
4263,6.9,0.52,0.54,7.9,0.036,23,169,0.99267,3.26,0.47,12.2,"[3,6]"
2127,6.5,0.43,0.28,12,0.056,23,174,0.9986,3.31,0.55,9.3,"[3,6]"
403,6.1,0.35,0.07,1.4,0.069,22,108,0.9934,3.23,0.52,9.2,"[3,6]"
2124,6.8,0.25,0.27,10.7,0.076,47,154,0.9967,3.05,0.38,9,"[3,6]"
677,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,"[3,6]"
3943,7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,"[3,6]"
2219,7.7,0.28,0.29,6.9,0.041,29,163,0.9952,3.44,0.6,10.5,"[3,6]"
1355,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,"[3,6]"
2934,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,"[3,6]"
1822,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,"[3,6]"
1160,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"[3,6]"
3735,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,"[3,6]"
3448,6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,"[3,6]"
598,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,"[3,6]"
2087,8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,"[3,6]"
1265,7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,"[3,6]"
2534,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,"[3,6]"
