X,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,BQ2_quality
3162,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,"[3,6]"
3900,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,"[3,6]"
1126,6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,"[3,6]"
3320,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,"[3,6]"
1534,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,"[3,6]"
631,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,"[3,6]"
107,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,"[3,6]"
402,6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,"[3,6]"
1906,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,"[3,6]"
2055,8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,"[3,6]"
1383,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,"[3,6]"
3460,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,"[3,6]"
3365,6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,"[3,6]"
1746,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,"[3,6]"
4778,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,"[3,6]"
81,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,"[3,6]"
1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,"[3,6]"
1394,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,"[3,6]"
2645,7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,"[3,6]"
802,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,"[3,6]"
4425,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,"[3,6]"
2151,7,0.24,0.34,3,0.035,36,102,0.9905,3.18,0.43,12.2,"[3,6]"
2256,7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,"[3,6]"
3321,7.5,0.29,0.36,15.7,0.05,29,124,0.9968,3.06,0.54,10.4,"[3,6]"
3444,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,"[3,6]"
1664,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,"[3,6]"
1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,"[3,6]"
28,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,"[3,6]"
4164,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,"[3,6]"
537,7.9,0.345,0.51,15.3,0.047,54,171,0.9987,3.09,0.51,9.1,"[3,6]"
1514,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,"[3,6]"
4612,5.9,0.42,0.36,2.4,0.034,19,77,0.99184,3.25,0.48,10.9,"[3,6]"
1514,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,"[3,6]"
3187,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,"[3,6]"
1743,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,"[3,6]"
1852,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,"[3,6]"
2326,7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,"[3,6]"
3187,8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,"[3,6]"
934,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,"[3,6]"
2688,6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,"[3,6]"
1435,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,"[3,6]"
389,6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,"[3,6]"
3260,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,"[3,6]"
497,7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,"[3,6]"
4186,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,"[3,6]"
4094,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,"[3,6]"
3706,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,"[3,6]"
3988,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,"[3,6]"
3398,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,"[3,6]"
2778,7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,"[3,6]"
4492,6.1,0.28,0.23,4.2,0.038,13,95,0.98898,2.97,0.7,13.1,"[3,6]"
